codigo_gesfincas;id_persona;nif;nombre_gesfincas;direccion;cp;carpeta_onedrive;match_method;match_score
2;1303;H15105901;C.P. LINARES RIVAS, 27;AV LINARES RIVAS, 27;15005;002. C.P. LINARES RIVAS, 27;NOMBRE;100%
3;1323;H15086200;C.P. LINARES RIVAS, 12-14;AV LINARES RIVAS, 12-14;15005;003. C.P. LINARES RIVAS, 12-14;NOMBRE;100%
4;12546;H21989306;ESPACIO CORUÑA (LOCALES PLANTA 1º,2º Y 3º);CL José Pascual López Cortón, 10;15008;;;
5;1377;H15087935;C.P. DURAN LORIGA, 11;CL DURAN LORIGA, 11;15003;039. C.P. DURAN LORIGA, 9;REVISAR;90%
6;1405;H15102866;C.P. PRIMO DE RIVERA, 2;AV PRIMO DE RIVERA, 2;15006;006. C.P. PRIMO DE RIVERA, 2;NOMBRE;100%
8;1451;H15271711;C.P. DOCTOR FLEMING, 15;CL DOCTOR FLEMING, 15;15005;;;
9;1478;H15088081;C.P. PRIMO DE RIVERA, 3;CL PRIMO DE RIVERA, 3;15006;009. C.P. PRIMO DE RIVERA, 3;NOMBRE;100%
10;1514;H15088024;C.P. LINARES RIVAS, 10-11;AV LINARES RIVAS, 10- 11;15005;017. C.P. LINARES RIVAS, 18-21;REVISAR;89%
11;12228;H70239926;C.P. TOURO, 2;CL Touro, 2;15002;;;
13;1541;H15087901;C.P. CUEVAS, 5;CL CUEVAS, 5;15002;013. C.P. CUEVAS, 5;NOMBRE;100%
14;12426;H15230790;C.P. ALFREDO VICENTI, 32;CL Alfredo Vicenti, 32;15004;014. C.P. ALFREDO VICENTI, 32;NOMBRE;100%
15;1567;H15563117;C.P. ALFONSO MOLINA, 5;AV ALFONSO MOLINA, 5;15005;015. C.P. ALFONSO MOLINA 5;NOMBRE;100%
16;1616;H15088008;C.P. CONCEPCION ARENAL, 2-4;CL CONCEPCION ARENAL, 2-4;15006;016 C.P. CONCEPCION ARENAL, 2-4;NOMBRE;100%
17;1715;H15087638;C.P. LINARES RIVAS, 18-21;AV LINARES RIVAS, 18- 21;15005;080. C.P. LINARES RIVAS, 1-2-3;REVISAR;89%
18;1773;H15087612;C.P. MANUEL MURGUIA, 12;CL MANUEL MURGUIA, 12;15011;018. MANUEL MURGUIA, 12;NOMBRE;100%
19;1793;H15088016;C.P. MARQUES DE AMBOAGE, 12;CL MARQUES DE AMBOAGE, 12;15006;;;
20;1825;H15154933;C.P. PASTEUR, 11-13;CL PASTEUR, 11-13;15008;;;
